职位,公司名称,公司规模,要求学历,省份,所属市,所属区,月薪,最高月薪,最低月薪,工作经验
python开发工程师,浙江巨能环境工程有限公司,50-150人,本科,浙江省,杭州,滨江区,1.5-3万·13薪,30000,15000,3年及以上
python开发工程师,安徽策美网络科技有限公司深圳分公司,,本科,上海,上海,徐汇区,1-1.8万·14薪,18000,10000,2年及以上
Python开发工程师,武汉邻盛智能设备有限公司,50-150人,本科,湖北省,武汉,汉阳区,1.2-1.8万,18000,12000,2年及以上
Python高级开发工程师,上海杏和软件有限公司,150-500人,本科,浙江省,杭州,滨江区,1.3-2.6万·13薪,26000,13000,3年及以上
python开发工程师,广州华资软件技术有限公司,1000-5000人,本科,广东省,广州,天河区,1.4-1.8万,18000,14000,3年及以上
python开发工程师,安徽长江数智云计算科技股份有限公司,少于50人,本科,安徽省,马鞍山,花山区,1-1.5万,15000,10000,3年及以上
python开发工程师,云手（湖北）科技有限公司,50-150人,本科,湖北省,武汉,江岸区,8千-1.5万·13薪,15000,8000,2-5年
python开发工程师,武汉佰钧成技术有限责任公司,10000人以上,本科,湖北省,武汉,武昌区,1-1.4万,14000,10000,3年及以上
Python爬虫工程师,武汉乐薇电子商务有限公司,50-150人,本科,湖北省,武汉,洪山区,1-1.5万,15000,10000,3年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,安徽省,合肥,包河区,7千-1.1万,11000,7000,无需经验
Python开发工程师,深圳市联华世纪通信技术有限公司,少于50人,本科,深圳,深圳,福田区,1-2万·13薪,20000,10000,2年及以上
Python开发工程师,上海鑫测信息技术有限公司,少于50人,本科,上海,上海,浦东新区,1.4-2.8万,28000,14000,3年及以上
Python开发工程师,东吴在线（上海）金融信息服务有限公司,50-150人,本科,江苏省,苏州,苏州工业园区,1.3-1.8万,18000,13000,5年及以上
高级python开发工程师,苏州中惠盈科技有限公司,少于50人,本科,江苏省,苏州,苏州工业园区,1-1.5万,15000,10000,2年及以上
python工程师,成都蓉猫云科科技有限公司,50-150人,本科,四川省,成都,锦江区,7千-1万,10000,7000,无需经验
python开发工程师,上海帮伯信息科技有限公司,少于50人,本科,上海,上海,闵行区,1-1.8万·13薪,18000,10000,2-7年
Python开发工程师（光谷）,曼迪匹艾（武汉）科技服务有限公司,1000-5000人,本科,湖北省,武汉,洪山区,1.4-2.4万,24000,14000,3年及以上
python开发工程师,江苏鱼跃医疗设备股份有限公司,10000人以上,本科,江苏省,南京,玄武区,1.2-2.4万·14薪,24000,12000,4年及以上
Python爬虫工程师,见鲸科技（南京）有限公司,50-150人,本科,江苏省,南京,秦淮区,1-1.7万·13薪,17000,10000,3-5年
python开发工程师,上海全晓信息技术有限公司,150-500人,本科,上海,上海,徐汇区,1.5-2万,20000,15000,3年及以上
python开发工程师,上海岩山科技股份有限公司,500-1000人,本科,上海,上海,浦东新区,2.8-3.5万,35000,28000,5年及以上
python开发工程师,四川威名科技有限公司,50-150人,本科,四川省,成都,青羊区,9千-1.4万,14000,9000,2年及以上
python开发工程师,浙江巨能环境工程有限公司,50-150人,本科,浙江省,杭州,滨江区,1.5-3万·13薪,30000,15000,3年及以上
Python开发工程师,深圳摩罗志远科技有限公司,150-500人,本科,广东省,东莞,凤岗镇,1.5-2.5万,25000,15000,3年及以上
python开发工程师,云南智讯达科技开发有限公司,少于50人,本科,云南省,昆明,西山区,8千-1.2万,12000,8000,2年及以上
python开发工程师,河南省信息咨询设计研究有限公司,500-1000人,本科,河南省,郑州,中原区,8千-1.5万,15000,8000,2年及以上
python开发工程师,佛山市益帕瓦物联科技有限公司,50-150人,本科,广东省,佛山,顺德区,1-1.5万·13薪,15000,10000,2-7年
python开发工程师,上海亦恺互联网科技有限公司,50-150人,本科,上海,上海,静安区,1.5-2万,20000,15000,5年及以上
Python应用开发工程师,深圳易弧文化科技有限公司,少于50人,本科,深圳,深圳,宝安区,1-2万,20000,10000,3-4年
python开发工程师,中软国际科技服务有限公司,10000人以上,本科,深圳,深圳,龙岗区,1-1.8万·13薪,18000,10000,3年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,广东省,广州,天河区,7千-1.1万,11000,7000,无需经验
Python开发工程师,南京中新赛克科技有限责任公司,1000-5000人,本科,江苏省,南京,雨花台区,1.4-2万·13薪,20000,14000,3-5年
python运维开发工程师,中才邦业（杭州）智能技术有限公司,150-500人,本科,浙江省,杭州,滨江区,1.3-1.8万·14薪,18000,13000,3年及以上
Python开发工程师,云南云岭工程造价咨询有限公司,500-1000人,本科,云南省,昆明,盘龙区,7千-1万,10000,7000,2年及以上
Python开发工程师,青岛启环国际贸易有限公司,50-150人,本科,山东省,青岛,黄岛区,8千-1万,10000,8000,3-4年
python开发工程师,四川瀚海精密制造有限公司,500-1000人,本科,四川省,广安,华蓥市,1-1.8万,18000,10000,2-7年
Python软件工程师,浙江艾罗网络能源技术股份有限公司,1000-5000人,本科,浙江省,杭州,西湖区,2-2.8万·15薪,28000,20000,5-10年
Python开发工程师,上海凌瓴信息科技有限公司,少于50人,硕士,上海,上海,浦东新区,1.5-3万,30000,15000,3-4年
Python全栈开发工程师,普罗斯通信技术（苏州）有限公司,1000-5000人,本科,江苏省,苏州,昆山市,8千-1.5万,15000,8000,3年及以上
python开发工程师,武汉云稼数字科技有限公司,,本科,湖北省,武汉,江夏区,1-1.3万,13000,10000,3年及以上
python开发工程师,成都市武侯区进阶思维教育培训学校有限公司,少于50人,本科,四川省,成都,武侯区,7-9千,9000,7000,1年及以上
python开发工程师,上海亦恺互联网科技有限公司,50-150人,本科,上海,上海,静安区,1.5-2万,20000,15000,5年及以上
Python开发工程师,南京中新赛克科技有限责任公司,1000-5000人,本科,江苏省,南京,雨花台区,1.4-2万·13薪,20000,14000,3-5年
python开发工程师,中软国际科技服务有限公司,10000人以上,本科,深圳,深圳,龙岗区,1-1.8万·13薪,18000,10000,3年及以上
高级python开发工程师,苏州中惠盈科技有限公司,少于50人,本科,江苏省,苏州,苏州工业园区,1-1.5万,15000,10000,2年及以上
python开发工程师,云南智讯达科技开发有限公司,少于50人,本科,云南省,昆明,西山区,8千-1.2万,12000,8000,2年及以上
Python开发工程师,上海恪数科技有限公司,少于50人,高中,上海,上海,黄浦区,7-8千·13薪,8000,7000,1-4年
Python开发工程师,北京芯同汇科技有限公司,少于50人,本科,北京,北京,昌平区,8千-1.5万,15000,8000,3-4年
Python开发工程师,青岛启环国际贸易有限公司,50-150人,本科,山东省,青岛,黄岛区,8千-1万,10000,8000,3-4年
Python爬虫开发工程师,中欧国际展览股份有限公司,50-150人,大专,四川省,成都,双流区,8千-1万,10000,8000,3年及以上
python高级工程师,河南省信息咨询设计研究有限公司,500-1000人,大专,河南省,郑州,中原区,8千-1.3万,13000,8000,3年及以上
Python开发工程师,上海现代通用识别技术有限公司,50-150人,本科,上海,上海,闵行区,1.5-2万·13薪,20000,15000,3年及以上
Python开发工程师,武汉吉嘉时空信息技术有限公司,50-150人,本科,湖北省,武汉,江夏区,1-1.8万,18000,10000,1年
中级Python开发工程师,知行奇点（苏州）计算机技术有限责任公司,,本科,江苏省,苏州,吴中区,1.4-1.8万,18000,14000,3年及以上
Python开发工程师,上海鑫测信息技术有限公司,少于50人,本科,上海,上海,浦东新区,1.4-2.8万,28000,14000,3年及以上
python开发工程师,青岛鹊山电力科技有限公司,少于50人,本科,浙江省,杭州,富阳区,10-15万/年,,,1年及以上
Python AI应用开发工程师,苏州博语创思文化创意有限公司,50-150人,本科,江苏省,苏州,苏州工业园区,9千-1.5万·13薪,15000,9000,2年及以上
Python开发工程师,深圳市紫川软件有限公司,500-1000人,本科,深圳,深圳,福田区,1.5-2万,20000,15000,3年及以上
Python研发工程师（AI应用方向）,浙江省公众信息产业有限公司,1000-5000人,本科,浙江省,杭州,余杭区,15-30万/年,,,2年及以上
python开发工程师,北京垣械电子科技有限公司,500-1000人,大专,辽宁省,沈阳,沈河区,8千-1.3万,13000,8000,无需经验
python后端开发工程师,翼果（深圳）科技有限公司,,本科,深圳,深圳,南山区,1.5-3万,30000,15000,2年及以上
